FID,Opername,Pipename,Shape_Leng,Shape__Length
131,PLAINS PIPELINE,Rocky Mountain,5.48823424865,5.48823424864569
132,PLAINS PIPELINE,Rocky Mountain,1.29675799251,1.29675799250609
133,PLAINS PIPELINE,Rocky Mountain,2.26441088374,2.26441088374276
134,PLAINS PIPELINE,West Coast Systmem,3.62078559611,3.62078559611241
135,PLAINS PIPELINE,Rocky Mountain,1.91246095864,1.91246095864165
136,PLAINS PIPELINE,Rocky Mountain,0.736470499676,0.7364704996756
137,PLAINS PIPELINE,CK Red River,5.22286194347,5.22286194347448
138,PLAINS PIPELINE,ARKLATEX,2.05387442774,2.05387442774488
139,PLAINS PIPELINE,ARKLATEX,0.242668217286,0.242668217285597
140,PLAINS PIPELINE,ARKLATEX,0.210433137756,0.210433137755619
141,PLAINS PIPELINE,Coffeyville,1.48271447786,1.48271447785756
142,PLAINS PIPELINE,Cherokee,2.21128959832,2.2112895983162
143,PLAINS PIPELINE,Mississippi Alabama,2.09912334289,2.0991233428852
144,PLAINS PIPELINE,Mississippi Alabama,2.77267559788,2.77267559788034
145,PLAINS PIPELINE,Mississippi Alabama,0.9651826255,0.965182625500085
146,PLAINS PIPELINE,Mississippi Alabama,0.432839070371,0.432839070371418
147,PLAINS PIPELINE,Mississippi Alabama,0.396166434613,0.396166434612721
148,PLAINS PIPELINE,Mississippi Alabama,0.178571700213,0.178571700213482
149,WESTERN REFINING,WESTERN REFINING,5.41604028971,5.41604028970542
150,WESTERN REFINING,WESTERN REFINING,2.42592526917,2.42592526917057
151,PLAINS PIPELINE,Basin,1.27309116983,1.27309116983152
152,HUNT CRUDE OIL SUPPLY,Hunt Oil,1.56988725697,1.56988725697021
153,HUNT CRUDE OIL SUPPLY,Hunt Oil,0.94831924465,0.948319244649906
154,HUNT CRUDE OIL SUPPLY,Hunt Oil,0.331790682021,0.331790682021408
155,HUNT CRUDE OIL SUPPLY,Hunt Oil,0.324540094039,0.324540094039013
156,HUNT CRUDE OIL SUPPLY,Hunt Oil,0.0642874786895,0.064287478689515
157,HUNT CRUDE OIL SUPPLY,Hunt Oil,0.132604474332,0.132604474331742
