FID,Typepipe,Operator,Shape_Leng,Shape__Length
96,Intrastate,Hutchinson Pipeline,1.38093142676,1.38093142675856
97,Intrastate,Independence Trail Pipeline Co,2.08183217406,2.08183217405624
98,Interstate,Iroquois Gas Trans Co,6.63880601166,6.63880601166146
99,Gathering,Jonah Gas Pipeline System,0.786378566444,0.786378566444421
100,Interstate,Kelso-Beaver Pipeline,0.367263799977,0.367263799976637
101,Intrastate,Kenai Kachemak Pipeline,0.590791689674,0.59079168967396
102,Intrastate,Kentucky-West Virginia Gas Co,8.4488136342,8.44881363420439
103,Interstate,Kern River Gas Trans Co,15.1241747605,15.1241734554444
104,Intrastate,KeyStone Gas (Sold to in 2005),0.781561047004,0.781561047004227
105,Intrastate,Kinder Morgan Texas Pipeline Co,68.2601051881,68.2601051881349
106,Interstate,KM Interstate Gas Co,100.690578165,100.690578164509
107,Interstate,KO Transmission Co,0.0467868387244,0.04678683872436
108,Gathering,Lost Creek Gathering Header,2.44022643822,2.44022643821705
109,Intrastate,Louisiana Gas Co,8.6265195665,8.62651956650089
110,Intrastate,Louisiana Intrastate Gas Co,21.9785858641,21.9785858640851
111,Gathering,Magnolia Offshore Pipeline System,0.783690157234,0.783690157233643
112,Gathering,Manta Ray Gathering System,2.93821900486,2.938219004864
113,Interstate,Maritimes & Northeast PL US,3.95520258924,3.95520258924237
114,Gathering,Merna Pipeline (WFS),0.491355784286,0.491355784286489
115,Interstate,MGTC Pipeline System,4.38357928092,4.38357928092061
116,Intrastate,Michcon Gas Co,25.8760252724,25.8760252724331
117,Intrastate,Michigan Gas Storage Co,7.83614247429,7.83614247428788
118,Interstate,Midwestern Gas Trans Co,5.37736958799,5.37736958798641
119,Interstate,MIGC Pipeline System,4.01914137111,4.01914137111035
120,Interstate,Millennium Pipeline Co,4.30352995373,4.30352995372753
121,Intrastate,Mississippi Canyon Gathering,0.0902365334268,0.090236533426743
122,Interstate,Mississippi Canyon Gathering (MARS),0.642228853989,0.642228853988544
123,Interstate,Mississippi Canyon Gathering (Shell),1.05896428624,1.05896428623974
124,Interstate,Mississippi Canyon Gathering (URSA),0.729293982743,0.729293982743175
125,Intrastate,Mississippi Canyon Gathering System,0.553531608006,0.553531608005617
126,Interstate,Mississippi River Trans Corp,32.1838181711,32.1837307656574
127,Intrastate,Mississippi Valley Gas Co,8.94352234851,8.9435223485146
128,Intrastate,Missouri Gas Co,1.11952245471,1.11952245470941
129,Interstate,"Missouri Interstate Gas, LLC",0.11901412214,0.119014122139707
130,Intrastate,Missouri Pipeline Co,2.33777063305,2.33777063305247
131,Intrastate,Missouri Public Service Co,2.95117228755,2.95117228754923
132,Interstate,Mojave Pipeline Co,5.94213157662,5.94213157662366
133,Intrastate,Monterey Pipeline Co,6.90574529922,6.90574529922182
134,Intrastate,Mustang Fuel Co,0.874998187015,0.874998187015085
135,Intrastate,National Fuel Gas Distr Co,21.8373651807,21.8373651807393
136,Interstate,National Fuel Gas Supply Co,23.8287295886,23.8287295885946
137,Interstate,Natural Gas PL Co of Am,89.4112144319,89.4112144319473
138,Interstate,Nautilus Pipeline System,1.475447576,1.47544757600268
139,Gathering,Nemo Offshore Pipeline System,0.352334539584,0.352334539584488
140, ,NET Mexico Pipeline,1.82742882592,1.82742882592164
141,Interstate,Nora Transmission Co,0.310524954802,0.310524954801593
142,Interstate,Norse Pipeline LLC,4.80789947316,4.80789947315883
143,Interstate,North Baja Pipeline Co,1.21527208949,1.21527208949277
144,Intrastate,North Coast Gas Transmission Co,3.42955018255,3.42955018254891
145,Interstate,North Country Pipeline Co,0.33887776484,0.338877764839853
146,Interstate,North Penn Gas Co,11.249911675,11.2499116750048
147,Interstate,Northern Border PL Co,23.3724771776,23.3724771775583
148,Intrastate,Northern Illinois Gas Co,44.5480676843,44.5480676842578
149,Interstate,Northern Natural Gas Co,217.656565891,217.656565891332
150,Intrastate,Northern Utilities (ME),1.70276458326,1.70276458325849
151,Interstate,Northwest Pipeline,50.4904600254,50.4904600254009
152,Intrastate,Northwestern Energy Co,50.8690540713,50.8690540712803
153,Intrastate,Oasis / Energy Transfer Co,13.34985299,13.2758914316846
154,Intrastate,Oasis Gas Pipeline Co,19.4583302286,19.4583302285909
155,Gathering,Okeanos Offshore Pipeline System,1.51500631069,1.51500631069398
156,Intrastate,Oklahoma Texas Gas Co,0.44621614492,0.446216144919788
157,Intrastate,ONEOK Gas Transmission LLC,36.916933225,36.9169332249827
158,Intrastate,ONEOK Gas Transportation LLC,73.8390887782,73.8390887782352
159,Intrastate,ONEOK Westex Pipeline,46.4792659504,46.4792659504039
160,Intrastate,Overland Trails Trans Co,4.13505855538,4.1350585553833
161,Interstate,Overthrust Pipeline Co,3.58642948048,3.586429480481
162,Interstate,"Ozark Gas Transmission, LLC",11.0867385458,11.0867385458383
163,Intrastate,Paiute Pipeline Co,10.8494245998,10.8494245997524
164,Interstate,Panhandle Eastern PL Co,57.2791843848,57.2791843848464
165,Interstate,Panther Interstate Pipeline LLC,0.621489907781,0.621489907781322
166,Intrastate,Pecan Pipeline Company,0.382874980176,0.382874980176211
167,Gathering,Pelican Gas Gathering Sys,1.18293945205,1.18293945205308
168,Interstate,Penn York Energy Co,0.238270877591,0.238270877591169
169,Intrastate,Peoples Gas Co (TX),2.37691120094,2.37691120093727
170,Intrastate,Petal Gas Storage Co,0.972877699478,0.972877699477709
171,Interstate,PNGTS/Maritimes & Northeast,1.87619705997,1.87619705997461
172,Interstate,Portland Natural Gas PL,3.15571941942,3.15571941941887
173,Intrastate,Prairie Rose Pipeline,1.31403244066,1.31403244066078
174,Intrastate,Public Service Co of NC,9.1882090405,9.18820904050032
175,Intrastate,Public Service Co of NM,18.7129720688,18.7129720687711
176,Interstate,Questar Pipeline Co,24.8535429193,24.8535429193406
177,Interstate,Questar Southern Trails Line,8.07414413921,8.0741441392111
178,Gathering,Ram-Powell Pipeline (Shell),0.392833653631,0.392833653631265
179,Interstate,Rockies Express (Echo Springs Lateral),0.0793472905624,0.079347290562465
180,Interstate,Rockies Express (Entrega),5.61687183534,5.61687183533873
181,Interstate,Rockies Express Pipeline,24.5700795999,24.5700795999166
182,Intrastate,Rocky Mountain Natural Gas Co,9.37973921849,9.37973921849341
183,Interstate,Ruby Pipeline LLC,11.963169416,11.9631694159921
184,Interstate,Sabine LLC,2.53769588563,2.5376958856326
185,Intrastate,San Diego Gas & Elec Co,0.57453066923,0.574530669229566
186,Interstate,Sea Robin Pipeline,6.18572693155,6.18572693154824
187,Interstate,Shoshone Pipeline,0.522794725515,0.522794725515454
188,Intrastate,SONAT Exploration Co,0.226984432829,0.226984432829464
189,Interstate,South Carolina PL Corp,24.7769711939,24.7769711938789
190,Interstate,South Georgia Gas Pipeline Co,13.86408538,13.8640853799532
191,Interstate,Southeast Supply Header Pipeline Co,5.94952715572,5.94952715571945
192,Intrastate,Southern California Gas Co,31.6148819068,31.6148819067825
193,Interstate,Southern Natural Gas Co,62.3158383163,62.3158383162583
194,Interstate,Southern Pines Storage Lateral,0.441903421123,0.441903421123312
195,Interstate,Southern Star Central Gas PL Co,94.6140948766,94.6140948765765
196,Intrastate,Southern Union Gas Services (TX),9.21205994347,9.21205994347384
197,Intrastate,Southwest Gas Corp,3.51902377071,3.51902377070799
198,Gathering,Spirit Offshore Lateral,0.129542728811,0.129542728810889
