OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292590,000024126,1,GA,Gathering,166,Active,100100801,2016-11-08T08:53:41.000Z,,,Crew Energy Inc.,OGAA,SNK,166.450896214333
292591,000024131,1,GA,Gathering,25958.2,Active,100100445,2016-11-17T10:56:34.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,25958.204143969
292592,000024131,2,GA,Gathering,110,Active,100100445,2017-03-10T12:14:23.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,97.966359524444
292593,000024135,1,IM,Intermediate,984,Active,100100515,2016-11-04T08:58:37.000Z,,,Altagas Holdings Inc.,OGAA,GPSD,982.661603681066
292594,000024135,2,IM,Intermediate,987,Active,100100515,2016-11-04T08:58:37.000Z,,,Altagas Holdings Inc.,OGAA,GPSD,985.655413991505
292595,000024135,3,IM,Intermediate,990,Active,100100515,2016-11-04T08:58:37.000Z,,,Altagas Holdings Inc.,OGAA,GPSD,988.649353245175
292596,000024135,4,IM,Intermediate,993,Active,100100515,2016-11-04T08:58:37.000Z,,,Altagas Holdings Inc.,OGAA,GPSD,991.643120184039
292597,000024136,1,GA,Gathering,3300,New,100100431,2016-11-26T07:22:38.000Z,,,Progress Energy Canada Ltd.,OGAA,CGWC,3260.07846577956
292598,000024141,1,GA,Gathering,2069,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2068.1702375155
292599,000024141,2,GA,Gathering,2068,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2067.19838506894
292600,000024141,3,GA,Gathering,2184,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2183.38250656273
292601,000024141,4,GA,Gathering,2184,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2183.3890668693
292602,000024141,5,GA,Gathering,2184,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2183.3957282101
292603,000024141,6,GA,Gathering,2067,New,100100344,2017-01-05T13:18:10.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,2066.22653908062
292604,000024142,1,DI,Distribution,61.22,Active,100100627,2016-10-03T15:55:46.000Z,,,Pacific Northern Gas (N.E.) Ltd.,OGAA,CGWC,61.2678053311414
292605,000024144,1,GA,Gathering,527.41,Active,100100879,2016-10-28T16:30:48.000Z,,,ARC Resources Ltd.,OGAA,SNK,527.409217269128
292606,000024148,1,GA,Gathering,6231,Active,100100459,2016-11-27T08:28:48.000Z,,,Encana Corporation,OGAA,SNK,6226.10717908705
292607,000024148,2,GA,Gathering,3535,Active,100100459,2016-11-27T08:28:48.000Z,,,Encana Corporation,OGAA,SNK,3528.32828620835
292608,000024148,3,FG,Fuel Gas,6216,Active,100100459,2016-11-27T08:28:48.000Z,,,Encana Corporation,OGAA,SNK,6211.20324520703
292609,000024148,4,GA,Gathering,6166,Active,100100459,2016-11-27T08:28:48.000Z,,,Encana Corporation,OGAA,SNK,6161.41769867721
292610,000024148,5,FL,Flow,3030,Active,100100459,2016-11-27T08:28:48.000Z,,,Encana Corporation,OGAA,SNK,3023.7322699599
292611,000024149,2,GA,Gathering,3852.37,Active,100100884,2016-11-04T10:09:59.000Z,,,Leucrotta Exploration Inc.,OGAA,CGWC,3852.36999211964
292612,000024153,1,GA,Gathering,1350,New,100100447,2016-11-26T12:31:39.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,1349.10600568906
